TimePoint,Station,Replicate,SampleID,Lat,Lon,Site,Date,Time,Transparency (m),Temperature (°C),Conductivity (µS/cm),TDS (g/L),Salinity (psu),pH,DO (mg/L),Chla (mg/m3),Seston total g/L,Seston total mg/L,Seston total mg/m3,Velocidad,Dirección
4M,5,1,4M5,8.02088889,76.89516667,Marirrio,12/02/15,07:25:00 AM,2.35,29.33,19010,9.505,10.2926518503489,8.05,5.17,4.58172,0.00826666666666668,8.26666666666668,8266.66666666668,0.871490280777538,N
4M,5,2,4M5r,8.02088889,76.89516667,Marirrio,12/02/15,07:35:00 AM,3.1,29.36,19230,9.615,10.4158770039846,8.02,5.23,NA,NA,NA,NA,0.531317494600432,N
4M,4,1,4M4,8.01538889,76.85413889,Leoncito,12/02/15,08:27:00 AM,0.5,28.21,315,0.1575,0.143077774088265,8.07,4.57,1.94376,0.0928,92.8,92800,0.667386609071274,N
4M,4,2,4M4r,8.01538889,76.85413889,Leoncito,12/02/15,08:31:00 AM,0.45,28.1,454,0.227,0.206388225179111,7.32,4.85,NA,NA,NA,NA,0.91036717062635,N
4M,14,1,4M14,8.88238889,76.50716667,Bajo Medio,12/04/15,09:40:00 AM,10,30.18,42820,21.41,24.6742677541043,8.4,4.79,0,0.00866666666666664,8.66666666666664,8666.66666666664,0.0291576673866091,Mvto lancha
4M,14,2,4M14r,8.88238889,76.50716667,Bajo Medio,12/04/15,09:50:00 AM,10,30.2,44250,22.125,25.5818710032522,8.37,4.77,0,0.00868965517241379,8.68965517241379,8689.65517241379,0.0323974082073434,Mvto lancha
4M,15,1,4M15,8.76527778,76.639,Sabanilla,12/05/15,09:15:00 AM,9.12,29.57,44410,22.205,26.0194025270311,8.27,4.84,2.98506,0.0125,12.5,12500,0.019438444924406,S
4M,15,2,4M15r,8.76527778,76.639,Sabanilla,12/05/15,09:17:00 AM,9.15,29.56,44280,22.14,25.9399842178604,8.3,4.87,3.64455,0.00900000000000003,9.00000000000003,9000.00000000003,0.0129589632829374,S
4M,1,1,4M1,8.24186111,76.94947222,Roto,12/07/15,06:25:00 AM,0.15,28.18,608,0.304,0.277078454492837,8.25,5.13,3.67926,0.176,176,176000,0.699784017278618,W
4M,1,2,4M1r,8.24186111,76.94947222,Roto,12/07/15,06:34:00 AM,0.2,28.26,541,0.2705,0.245659550183155,8.02,5.04,4.37346,0.206,206,206000,0.586393088552916,W
