TimePoint,Station,Sample, Transparency,Temperature,TDS,Salinity,pH,DO,Chla,Biomass,Biovolumen,Taxa_S,Shannon_H,Equitability_J
4M,1,4M1,0.175,28.18,0.28725,0.261369002,8.135,5.085,4.02636,0.191,17.02569603,7,0.4523,0.2324
4M,10,4M10,2.175,30.41,14.15,15.54881188,8.425,5.39,0.83304,0.01511,89.42544154,15,1.589,0.5869
4M,12,4M12,5.3,30.33,18.715,21.18116762,8.435,4.78,0.347,0.015316667,7.049302824,14,1.676,0.6351
4M,13,4M13,5.05,29.79,21.185,24.58245291,8.42,5.15,0.59007,0.01175,297.9496806,17,1.609,0.5678
4M,14,4M14,10,30.18,21.7675,25.12806938,8.385,4.78,0.347,0.008678161,237.3793322,10,0.2351,0.1021
4M,15,4M15,9.135,29.57,22.1725,25.97969337,8.285,4.855,3.314805,0.01075,15.32590538,14,0.4505,0.1707
4M,2,4M2,0.87,29.23,2.33325,2.278783512,7.88,5.545,1.232205,0.0249,4.553671853,8,1.092,0.5254
4M,3,4M3,1.065,29,5.0895,5.263187917,7.93,5.47,2.134665,0.019138182,73.81817108,10,1.634,0.7095
4M,4,4M4,0.475,28.21,0.19225,0.174733,7.695,4.71,3.26274,0.050533333,10.90554165,11,1.014,0.4227
4M,5,4M5,2.725,29.33,9.56,10.35426443,8.035,5.2,2.70738,0.0208,523.5876224,11,1.362,0.568
4M,7,4M7,0.74,29.52,5.3515,5.339842303,8.225,5.575,0.83304,0.036466667,11.47881585,8,0.258,0.1241
4M,8,4M8,0.39,29.545,5.7655,5.919387209,7.93,5,2.56854,0.0442,228.6180853,4,0.03649,0.02632
4M,9,4M9,1.11,29.18,3.434,3.443793825,8.045,5.75,0.347,0.013666667,26.04624511,9,0.1024,0.04661
5M,1,5M1,2.075,27.91,17.715,20.94710793,8.21,2.72,0.347,0.0112,119.0374158,15,1.304,0.4814
5M,10,5M10,2.4,28.72,20.19,23.84616432,8.32,3.115,0.347,0.006666667,13.56888925,14,1.921,0.7278
5M,12,5M12,1.95,28.51,22.035,26.35481517,8.29,2.97,2.15202,0.00685,30.05656646,13,0.6414,0.2501
5M,13,5M13,1.275,28.32,22.605,27.25658324,8.365,2.96,1.28427,0.008966667,131.4343696,14,1.338,0.5069
5M,15,5M15,0.85,28.44,24.5,29.71273225,8.295,3.155,13.600535,0.01565,177.3867386,15,0.4443,0.1641
5M,2,5M2,0.875,27.93,8.7585,9.698881813,8.165,2.995,0.347,0.0156,43.63230187,15,1.103,0.4074
5M,3,5M3,0.595,28.31,8.023,8.749444311,8.085,3.07,0.347,0.0277,59.47849258,13,1.493,0.5821
5M,4,5M4,0.675,28.12,8.474,9.31283074,8.03,3.29,4.876755,0.0187,8.018506713,8,0.3434,0.1651
5M,5,5M5,1.55,27.85,8.537,9.443489503,8.13,3.22,0.347,0.016616667,7.890480136,11,0.6705,0.2796
5M,7,5M7,0.615,27.69,9.091,10.14111591,8.425,3.52,0.347,0.0498,11.30740771,10,0.7637,0.3317
5M,8,5M8,0.415,27.67,9.83,11.0502177,8.155,3.565,2.52226,0.0425,23.26479525,14,1.144,0.4334
5M,9,5M9,1.16,27.7,9.61,10.7619834,8.28,3.6,4.564365,0.01625,82.60707943,8,0.4281,0.2059
6M,1,6M1,0.145,27.42,0.4,0.373684595,7.97,3.375,21.79788,0.105,8.968167489,9,0.9333,0.4248
6M,10,6M10,3.465,28.73,18,21.0051731,8.285,3.13,1.52724,0.009714286,8.265555776,8,1.16,0.5577
6M,12,6M12,4.775,29.16,22.44,26.55939436,8.265,2.955,1.11072,0.0103,16.54276138,17,2.154,0.7601
6M,13,6M13,4.6,28.66,19.68,23.2129196,8.345,3.025,0.347,0.0098,58.83252733,10,1.336,0.5802
6M,14,6M14,10.05,29.06,22.19,26.25065726,8.42,3.105,2.794155,0.00705,290.316694,16,1.213,0.4376
6M,15,6M15,9.65,28.64,18.45,21.61617768,8.42,3.18,4.217265,0.00675,489.0453834,14,1.741,0.6595
6M,2,6M2,1.275,28.79,8.715,9.473006537,7.94,3.37,4.009005,0.0076,9.427380885,13,0.8545,0.3331
6M,3,6M3,0.775,29.11,5.804,6.101635951,7.785,3.36,4.321395,0.0111,7.42853747,10,1.338,0.581
6M,4,6M4,0.11,27.85,0.172,0.157280383,7.565,3.01,2.84622,0.1044,14.05639425,8,0.8156,0.3922
6M,5,6M5,1.32,27.66,6.3835,6.915713872,8.165,3.12,4.842045,0.0129,20.29467874,5,0.3731,0.2318
6M,7,6M7,0.465,28.35,6.652,7.127743096,8.075,3.345,12.04437,0.0199,24.80758616,10,0.2449,0.1064
6M,8,6M8,0.15,27.5,2.747,2.810910576,7.435,3.11,6.230445,0.0412,24.38875678,4,0.09887,0.07132
6M,9,6M9,1.5,28.52,8.121,8.821247085,8.29,3.47,9.7188,0.012,17.1972003,9,0.8491,0.3864
7M,1,7M1,0.325,27.64,0.973,0.935001577,7.535,2.725,2.49912,0.0642,13.34668001,6,1.038,0.5793
7M,10,7M10,3.925,30.6,17.865,20.02700774,8.44,3.32,3.175965,0.018534146,28.74664622,17,1.92,0.6776
7M,12,7M12,3.205,30.42,22.065,25.38977049,8.805,3.22,2.204085,0.0174,15.35508637,18,2.016,0.6975
7M,13,7M13,2.125,29.54,21.515,25.21895989,8.37,3.245,1.371045,0.0197,17.88908766,15,1.261,0.4655
7M,14,7M14,5,30.22,20.11,22.97219851,8.48,2.81,1.232205,0.01485,30.16591252,11,0.7656,0.3193
7M,15,7M15,5,30.06,21.365,24.67224871,8.365,3.23,0.347,0.01345,89.67001435,15,1.459,0.5387
7M,2,7M2,2.285,29.83,20.68,23.876064,8.08,3.675,2.655315,0.021454545,103.8637308,14,0.771,0.2922
7M,3,7M3,0.955,29.08,7.839,8.398643252,8.36,3.75,4.425525,0.027127273,7.852375344,12,1.769,0.7118
7M,4,7M4,0.095,28.43,0.242,0.21930486,7.78,3.425,2.84622,0.161,8.568980291,5,0.8478,0.5268
7M,5,7M5,1.185,30.02,9.471,10.09126202,8.195,3.425,2.204085,0.01655,86.84324794,11,0.1425,0.05942
7M,7,7M7,2.4,29.8,24.31,28.68999213,8.03,2.71,2.238795,0.0234,146.5738366,17,1.528,0.5393
7M,8,7M8,0.425,29.91,12.5,13.71266555,8.13,3.515,14.05755,0.048,30.51261188,6,0.7065,0.3943
7M,9,7M9,1.625,28.84,11.62,12.93736428,8.155,3.555,3.19332,0.01465,193.1993818,8,0.471,0.2265
