TimePoint,Station,Replicate,Sample,Lat,Lon,Site,Date,Time
PM,2,1,P2,8.13363333,76.9163,Candelaria,10/27/14,03:40:00 PM
PM,2,2,P2,8.13363333,76.9163,Candelaria,10/27/14,05:08:00 PM
PM,2,3,P2,8.13363333,76.9163,Candelaria,10/28/14,08:22:00 AM
PM,3,1,P3,8.12598333,76.8162,Margarita,10/29/14,10:52:00 AM
PM,19,1,P19,8.03836111,76.84455277,La Paila,10/30/14,09:25:00 AM
PM,4,1,P4,8.01538889,76.85413889,Leoncito,10/31/14,09:40:00 AM
PM,14,1,P14,8.88152778,76.51997222,Bajo Medio,11/29/14,02:10:00 PM
PM,17,1,P17,8.89194444,76.43469444,Punta Rey,11/30/14,11:40:00 AM
PM,12,1,P12,8.52591667,76.92206667,P.Arenas S,12/02/14,04:22:00 PM
PM,11,1,P11,8.53260833,76.92341111,Rionegro,12/03/14,08:44:00 AM
PM,10,1,P10,8.47105,76.83511667,RioNecocli,12/03/14,10:21:00 AM
PM,5,1,P5,8.02088889,76.89516667,Marirrio,12/15/14,11:50:00 AM
PM,7,1,P7,8.0095,76.75016667,Currulao,12/16/14,09:54:00 AM
PM,6,1,P6,7.98423333,76.74125,Coquitos,12/16/14,02:55:00 PM
PM,8,1,P8,8.10902778,7.67443889,El Uno,12/17/14,09:55:00 AM
PM,9,1,P9,8.11003333,76.77343333,Yarumal,12/17/14,01:50:00 PM
1M,1,1,1M1,8.23673333,76.94396667,Roto,03/20/15,07:45:00 AM
1M,2,1,1M2,8.13363333,76.9163,Candelaria,03/20/15,09:40:00 AM
1M,3,1,1M3,8.12598333,76.8162,Margarita,03/20/15,11:05:00 AM
1M,4,1,1M4,8.01538889,76.85413889,Leoncito,03/21/15,08:45:00 AM
1M,5,1,1M5,8.02088889,76.89516667,Marirrio,03/21/15,07:40:00 AM
1M,14,1,1M14,8.88152778,76.51997222,Bajo Medio,03/25/15,08:50:00 AM
1M,17,1,1M17,8.89194444,76.43469444,Punta Rey,03/25/15,10:26:00 AM
1M,13,1,1M13,8.55333333,76.94086111,P.Arenas N,04/19/15,09:35:00 AM
1M,12,1,1M12,8.52219444,76.91572222,P.Arenas S,04/19/15,10:25:00 AM
1M,11,1,1M11,8.53260833,76.92341111,Rionegro,04/19/15,11:15:00 AM
1M,10,1,1M10,8.47158611,76.82143889,RioNecocli,04/19/15,12:20:00 PM
